id_kelurahan,nama_kelurahan,kecamatan,tahun,bulan,label_risiko,elevasi,jarak_sungai,curah_hujan_lokal,tata_guna_lahan,kualitas_drainase,pengaruh_pasang,kepadatan_penduduk,jenis_tanah,curah_hujan_bulanan,pasang_maks_muara,musim,pasang_trisakti,debit_barito,debit_martapura,curah_hujan_hulu
1,Alalak Utara,Banjarmasin Utara,2026,1,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,312.8490103639162,265.0,1.0,275.0,5606.613088959072,436.06990691903894,510.82474810515987
1,Alalak Utara,Banjarmasin Utara,2026,2,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,371.656152096998,260.0,1.0,270.0,5232.8388830284675,398.69248632597845,398.69248632597845
1,Alalak Utara,Banjarmasin Utara,2026,3,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,540.4775017756546,270.0,1.0,280.0,5980.387294889677,473.44732751209943,473.44732751209943
1,Alalak Utara,Banjarmasin Utara,2026,4,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,498.3656079074731,320.0,1.0,285.0,6354.161500820282,510.82474810515987,311.4785049421707
1,Alalak Utara,Banjarmasin Utara,2026,5,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,339.2623875830123,295.0,2.0,300.0,4859.064677097862,311.4785049421707,199.34624316298923
1,Alalak Utara,Banjarmasin Utara,2026,6,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,276.8420951926013,305.0,2.0,310.0,3862.3334612829162,224.26452355836287,137.0505421745551
1,Alalak Utara,Banjarmasin Utara,2026,7,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,138.17186479234692,280.0,2.0,285.0,3488.5592553523115,186.8871029653024,105.90269168033802
1,Alalak Utara,Banjarmasin Utara,2026,8,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,245.19587909047675,265.0,2.0,270.0,2990.1936474448385,149.5096823722419,49.836560790747306
1,Alalak Utara,Banjarmasin Utara,2026,9,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,339.1377961810354,260.0,2.0,265.0,3239.3764513985748,174.42796276761558,74.75484118612096
1,Alalak Utara,Banjarmasin Utara,2026,10,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,496.7459196817738,275.0,2.0,285.0,4111.5162652366525,261.64194415142333,174.42796276761558
1,Alalak Utara,Banjarmasin Utara,2026,11,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,502.3525327707328,300.0,1.0,305.0,5855.795892912808,448.52904711672574,436.06990691903894
1,Alalak Utara,Banjarmasin Utara,2026,12,4,2.0,80.0,2791.0,1.0,2.0,9.0,7500.0,1.0,582.9631698497666,315.0,1.0,320.0,6603.344304774018,523.2838883028467,535.7430285005336
2,Alalak Selatan,Banjarmasin Utara,2026,1,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,312.8490103639162,265.0,1.0,275.0,5606.613088959072,436.06990691903894,510.82474810515987
2,Alalak Selatan,Banjarmasin Utara,2026,2,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,371.656152096998,260.0,1.0,270.0,5232.8388830284675,398.69248632597845,398.69248632597845
2,Alalak Selatan,Banjarmasin Utara,2026,3,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,540.4775017756546,270.0,1.0,280.0,5980.387294889677,473.44732751209943,473.44732751209943
2,Alalak Selatan,Banjarmasin Utara,2026,4,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,498.3656079074731,320.0,1.0,285.0,6354.161500820282,510.82474810515987,311.4785049421707
2,Alalak Selatan,Banjarmasin Utara,2026,5,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,339.2623875830123,295.0,2.0,300.0,4859.064677097862,311.4785049421707,199.34624316298923
2,Alalak Selatan,Banjarmasin Utara,2026,6,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,276.8420951926013,305.0,2.0,310.0,3862.3334612829162,224.26452355836287,137.0505421745551
2,Alalak Selatan,Banjarmasin Utara,2026,7,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,138.17186479234692,280.0,2.0,285.0,3488.5592553523115,186.8871029653024,105.90269168033802
2,Alalak Selatan,Banjarmasin Utara,2026,8,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,245.19587909047675,265.0,2.0,270.0,2990.1936474448385,149.5096823722419,49.836560790747306
2,Alalak Selatan,Banjarmasin Utara,2026,9,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,339.1377961810354,260.0,2.0,265.0,3239.3764513985748,174.42796276761558,74.75484118612096
2,Alalak Selatan,Banjarmasin Utara,2026,10,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,496.7459196817738,275.0,2.0,285.0,4111.5162652366525,261.64194415142333,174.42796276761558
2,Alalak Selatan,Banjarmasin Utara,2026,11,4,2.5,120.0,2791.0,1.0,3.0,8.0,11190.0,1.0,502.3525327707328,300.0,1.0,305.0,5855.795892912808,448.52904711672574,436.06990691903894
